vessel_id,mmsi,vessel_name,latitude,longitude,start_distance_from_port_km,end_distance_from_port_km,start_distance_from_shore_km,end_distance_from_shore_km,start,end,event_type,label
db4188eeb-b70f-3d91-57b3-2d1908fb7998,533130355,MALIKAI,6.3483,115.105,32.519023000000004,32.519023000000004,54.0,54.0,2017-04-11T14:14:59.000Z,2026-09-07T23:06:46.000Z,loitering,1
29bfa635e-e3a6-d2c4-1c8d-580d13ac52fd,232763000,SCOTT PLATFORM,58.2874,0.1986,0.0,0.0,141.0,141.0,2017-08-07T20:21:48.000Z,2024-01-18T23:58:12.000Z,loitering,1
1d92d421a-abd2-5b5f-9471-97157dfce006,232011190,FPF1,56.8161,2.1263,9.037796,15.071042,248.0,247.0,2017-09-12T12:47:06.000Z,2026-07-09T13:38:39.000Z,loitering,1
d77fbdca5-54d8-e3d3-daa8-7034815fe11a,257459000,ASKEPOTT,60.5317,2.4398,6.747187,1.6421430000000001,103.0,147.0,2017-12-16T09:48:50.000Z,2026-09-07T23:59:25.000Z,loitering,1
d5af4a1c8-82b0-0ff1-7506-33c1620a3a16,636008364,PETROBRAS XX,-22.3589,-40.0888,0.0,0.0,101.0,101.0,2018-01-07T11:59:49.000Z,2024-08-30T12:04:53.000Z,loitering,1
17aeb83bf-f41e-09a6-93ac-e84c0897a7eb,356055000,FPSO KWAME NKRUMAH,4.5977,-2.8899,0.0,0.0,48.0,48.0,2018-03-26T05:27:24.000Z,2026-09-07T23:00:13.000Z,loitering,1
eec06f8d7-7d86-8c27-24ca-10b57803f26a,311000289,FPSO MV 29,-22.9623,-40.7362,2.448203,3.2667550000000003,105.0,104.0,2018-05-09T19:56:42.000Z,2026-09-07T23:22:26.000Z,loitering,1
a9602434b-b8bb-782e-dc32-42a977b1f35b,257161000,ALVHEIM FPSO,59.5668,1.9964,0.0,0.0,164.0,164.0,2018-06-24T01:25:15.000Z,2025-11-28T06:38:31.000Z,loitering,1
640960a1d-d3c2-d192-1872-306a0aa0cebe,533130543,FSO MEKAR BERGADING,7.0983,103.4758,174.523875,172.398078,150.0,151.0,2018-07-01T00:17:20.000Z,2026-09-07T23:34:35.000Z,loitering,1
d44f40d7f-fd30-d9fa-daf0-3698da871792,351281000,PETROBRAS 26,-22.4659,-40.0242,0.0,1.5140429999999998,112.0,112.0,2018-08-06T13:46:53.000Z,2024-11-04T20:59:43.000Z,loitering,1
f39eee4cf-f660-c2b0-1dfb-f15ffb0c47d5,355866000,CIDADE DE SAQUAREMA,-25.4901,-42.7805,0.0,0.0,272.0,272.0,2018-09-26T09:58:48.000Z,2026-09-07T23:02:54.000Z,loitering,1
32495a049-95e6-83d9-3afc-72d2c1f52141,538001903,PLATAFORMA VIII,-22.6728,-40.5464,0.0,0.0,87.0,87.0,2018-11-27T16:31:28.000Z,2026-09-07T23:48:18.000Z,loitering,1
f9107080e-e2db-ec1f-5be8-fd4f0d0be5d4,257452000,ASKELADDEN,61.0894,2.139,9.685289000000001,3.487225,138.0,127.0,2019-01-09T00:12:15.000Z,2026-09-07T23:59:08.000Z,loitering,1
181460aa4-4037-8613-549e-24d8f6da6f5d,354819000,PETROBRAS-09,-22.5734,-40.5271,0.0,0.0,79.0,79.0,2019-01-28T02:49:40.000Z,2026-07-24T12:59:14.000Z,loitering,1
6f0aa6fd6-6e50-bdca-5d5a-1219dba6b071,273353030,PRIRAZLOMNAYA,69.266,57.2859,59.218074,59.218074,50.0,50.0,2019-03-03T13:18:37.000Z,2024-09-07T22:30:30.000Z,loitering,1
b3db9e8bf-fa90-8b56-53c8-f8fcec8b2112,311000254,PROF.JOHN EVANS A M,4.5885,-3.1372,0.0,0.0,55.0,55.0,2019-04-24T11:59:17.000Z,2024-12-29T07:32:54.000Z,loitering,1
144c2f487-76a0-69a7-7481-6b62900a066a,311000320,FPSO MV27,-25.5172,-43.4657,2.995463,2.995463,250.0,250.0,2019-04-25T04:01:06.000Z,2026-09-07T23:05:23.000Z,loitering,1
69f40684c-c77c-fe76-2016-7a4093238d0b,232006164,CULZEAN PLATFORM,57.1902,1.9081,0.0,0.0,224.0,224.0,2019-05-18T17:00:44.000Z,2026-09-07T23:03:04.000Z,loitering,1
55213b885-54a6-179c-1c43-055a6e7b2683,525001102,AIS CIPALA,-4.6672,106.6309,64.212625,64.212625,80.0,80.0,2019-05-29T08:51:14.000Z,2024-06-25T23:42:07.000Z,loitering,1
4dc61d2b8-814e-9597-a7ad-f8e37bf6fb4d,311000132,PETROJARL 1,-24.125,-41.8875,62.444086000000006,62.444086000000006,125.0,125.0,2019-08-28T10:04:25.000Z,2025-01-19T11:45:19.000Z,loitering,1
1135a7b3d-d23a-4774-df1b-771965bc67fb,311000248,LIZA DESTINY,8.0194,-57.1322,167.18265599999998,185.574188,154.0,175.0,2019-08-31T06:55:02.000Z,2024-07-28T23:26:09.000Z,loitering,1
6a6997cf9-97a4-9ee2-0da8-ebba7e449047,503000059,ICHTHYS VENTURER,-13.9653,123.3148,10.065572,10.065572,170.0,170.0,2019-10-30T06:16:08.000Z,2026-09-07T23:59:03.000Z,loitering,1
bc772011f-f20f-b63c-a971-6b1924c5aa2a,538003496,PETROBRAS 57,-21.2391,-40.0475,0.0,0.0,74.0,74.0,2019-11-28T22:20:00.000Z,2024-07-24T16:12:50.000Z,loitering,1
2b40dd2be-e34a-549f-e6a3-7fe171528d5a,657161000,EGINA FPSO,3.0503,6.6973,16.663672,16.663672,142.0,142.0,2019-12-24T23:59:55.000Z,2026-07-18T23:59:35.000Z,loitering,1
dd31fb8e6-648b-e74b-2c5a-fc951d9a205b,354903000,PETROBRAS-43,-22.5501,-40.2594,0.0,0.0,97.0,97.0,2020-01-26T00:03:41.000Z,2026-09-07T23:49:59.000Z,loitering,1
d2ce168ae-ec7f-a803-280c-855797f52935,538005509,PETROBRAS 67,-25.3287,-42.6923,1.005045,1.005045,255.0,255.0,2020-01-31T16:31:28.000Z,2025-03-29T09:59:29.000Z,loitering,1
4eadc3923-389f-e58b-7793-0f116744641b,232011493,MARINER B,59.6083,1.0763,2.791996,2.791996,131.0,131.0,2020-03-01T17:32:44.000Z,2025-07-13T09:59:02.000Z,loitering,1
12136bf85-569b-d2cb-2f0a-a9bb1159a676,308419000,FPSO SERPENTINA,3.8022,8.0771,0.0,0.0,56.0,56.0,2020-03-06T08:58:59.000Z,2026-04-20T02:58:22.000Z,loitering,1
074384c93-37f8-521e-4499-820ef5fa7f8c,259058000,ASGARD B,65.1101,6.7898,6.4546790000000005,6.4546790000000005,159.0,159.0,2020-07-03T12:57:40.000Z,2026-09-07T22:42:23.000Z,loitering,1
936156e7c-cda7-0469-8059-212ce95b6b80,538008638,ABIGAIL JOSEPH,3.9333,5.892,45.976086,44.238633,43.0,44.0,2020-07-23T15:48:34.000Z,2026-09-07T22:30:24.000Z,loitering,1
ff691d3ab-bc69-b5e6-1cce-e29711884b4b,657210000,AGBAMI FPSO,3.4627,5.5606,2.223899,2.223899,105.0,105.0,2020-07-25T07:26:42.000Z,2026-09-07T23:59:27.000Z,loitering,1
6579d0d3a-a8df-0632-82e5-b6b30645e5ef,367550980,BIG FOOT,26.9317,-90.5183,0.0,0.0,235.0,235.0,2020-08-27T23:51:49.000Z,2024-10-09T04:57:34.000Z,loitering,1
092b33ef5-58eb-29c7-7233-d1179d137b56,367341450,ENCHILADA/SHELL RIG,27.8759,-91.9846,1.111949,1.4841099999999998,165.0,165.0,2020-08-29T18:00:06.000Z,2026-02-04T18:58:59.000Z,loitering,1
c0be20d83-3fbe-43be-7bf1-324f601ed485,366048300,HOLSTEIN,27.3208,-90.5354,0.987919,0.987919,192.0,192.0,2020-08-31T22:06:14.000Z,2025-01-23T09:59:26.000Z,loitering,1
e237721a9-90ad-10a1-ded7-dacf614827f1,311000019,FPSO C.D ITAGUAI,-25.1399,-42.9442,0.0,0.0,231.0,231.0,2020-09-15T08:01:10.000Z,2025-03-06T09:57:59.000Z,loitering,1
48a250ddf-fa6d-945d-6e94-8a4a5a0fd890,309776000,N'GOMA FPSO,-6.1395,11.0306,0.0,0.0,134.0,134.0,2020-10-08T07:56:46.000Z,2026-09-07T23:33:39.000Z,loitering,1
56b8391ba-aa0b-0e94-f987-b1acc66cab8a,367178330,AUGER TLP,27.5457,-92.4434,0.0,0.0,220.0,220.0,2020-12-07T04:17:31.000Z,2026-09-07T23:57:51.000Z,loitering,1
2fff5e07f-f2e0-0abe-6d8c-0ee42f96d3ca,259067000,KRISTIN,64.9933,6.55,11.148394,11.148394,156.0,156.0,2020-12-16T12:42:14.000Z,2026-09-07T21:58:30.000Z,loitering,1
7012d9e55-5470-f177-f479-3d7608fac4e3,470903000,TOTAL ABU AL BUKHOOS,25.4949,53.146,1.0037129999999999,1.0037129999999999,45.0,45.0,2020-12-20T06:51:07.000Z,2025-05-03T13:40:12.000Z,loitering,1
1a9f3bc09-97b1-9ddf-169c-0d8b0a87cdcb,352857000,CIDADE DE MARICA,-25.4478,-42.753,0.0,0.0,268.0,268.0,2020-12-28T05:49:39.000Z,2026-04-25T10:01:59.000Z,loitering,1
84f737cba-aef2-632a-4661-069fae8aa02b,306239000,BLEO HOLM,58.1004,-1.4418,27.292146,27.292146,55.0,55.0,2021-01-26T02:07:02.000Z,2025-07-13T10:57:18.000Z,loitering,1
0fe0302a0-0cb9-2d7c-519d-93b0a7ae2fa5,636018032,PETROBRAS 74,-24.6487,-42.5144,0.0,0.0,186.0,186.0,2021-01-28T20:17:01.000Z,2024-08-27T16:59:17.000Z,loitering,1
488a93530-0b3e-64a9-ce36-a458c2d29f6f,636018174,PETROBRAS 77,-24.6354,-42.4117,2.307125,2.307125,185.0,185.0,2021-01-28T22:19:35.000Z,2026-06-26T23:59:57.000Z,loitering,1
dc7b2ddf6-676e-bd84-e621-3a01633e4260,657126200,BONGA FPSO,4.5575,4.6163,0.0,0.0,100.0,100.0,2021-02-03T11:43:46.000Z,2026-09-07T23:47:59.000Z,loitering,1
91bdf4410-04b1-3214-1ebc-9959b08ade0c,356058000,NINGALOO VISION,-21.4019,114.0864,1.035287,0.0,39.0,38.0,2021-02-21T01:59:23.000Z,2024-02-22T12:59:26.000Z,loitering,1
57daa6645-52e3-46d9-aaee-a49584c4cf13,636017687,PETROBRAS 70,-24.9511,-42.4679,2.441785,2.441785,219.0,219.0,2021-02-24T16:11:58.000Z,2025-03-26T08:44:25.000Z,loitering,1
ffb2ef842-28a7-792d-e740-6548f08cdaa9,352916000,TAMARA TOKONI,5.3879,4.5914,25.848139,25.848139,65.0,65.0,2021-03-17T10:37:28.000Z,2025-06-14T22:02:58.000Z,loitering,1
3e1c55fd0-0597-4e9f-4c50-60c895c7c685,710120300,PEREGRINO C,-23.3977,-41.4085,17.7085,17.7085,74.0,74.0,2021-04-24T19:49:17.000Z,2026-09-07T23:58:31.000Z,loitering,1
26e732aa4-4eb7-3d8c-2b03-4d8b37090ad8,309817000,GIMBOA,-7.5411,12.1141,0.0,7.407426,81.0,92.0,2021-04-28T11:03:43.000Z,2024-12-31T19:00:41.000Z,loitering,1
25f994d08-827e-fa6f-ce93-55553d713a0b,311001017,FPSO BRAVO,-23.134,-41.0736,1.510627,1.111949,84.0,83.0,2021-04-29T20:15:11.000Z,2026-09-07T23:31:00.000Z,loitering,1
839b74c46-6c88-4db0-c103-0e94f2e893e1,259644000,JORUNN KNUTSEN/ASG C,65.1306,6.8647,10.1765,10.484268,159.0,158.0,2021-05-16T11:02:10.000Z,2025-08-14T20:59:34.000Z,loitering,1
d44d7275e-e7f2-4338-44fc-36256765641e,574128296,DK1/18,8.0967,110.5567,303.480656,303.480656,317.0,317.0,2021-06-05T09:12:22.000Z,2024-05-13T06:59:41.000Z,loitering,1
82f54790a-a7e3-8132-0fe3-4110a21d92b2,574128294,DKI/16,8.0758,110.4677,313.064,313.064,314.0,314.0,2021-06-21T22:55:58.000Z,2025-03-09T23:59:46.000Z,loitering,1
d46cb9bad-d940-93bc-51ac-048c403f1948,657830000,USAN FPSO,3.5734,7.3933,1.5710039999999998,1.5710039999999998,93.0,93.0,2021-06-23T16:34:42.000Z,2024-11-16T09:05:04.000Z,loitering,1
1cccffb94-431e-2153-c6bb-c86072ddd11c,636015383,NOBLE BOB DOUGLAS,8.1746,-56.9453,195.075188,209.683578,185.0,199.0,2021-06-27T08:59:44.000Z,2024-01-12T17:59:35.000Z,loitering,1
da49e3973-3bdf-2596-4313-e9051c96e572,636018033,PETROBRAS 75,-24.7881,-42.5093,2.018968,2.018968,201.0,201.0,2021-07-03T10:05:33.000Z,2024-11-07T18:00:13.000Z,loitering,1
0ce876397-7a57-51db-2cd7-d6923d395a96,311000768,FPSO CARIOCA MV30,-25.2098,-42.5703,6.035961,5.151025,243.0,247.0,2021-07-06T01:48:19.000Z,2026-09-07T23:59:08.000Z,loitering,1
b595376a3-33c6-d9ac-4c18-d1e8ceaa1adc,311050100,FPSO CDSAOPAULO MV23,-25.7983,-43.2627,0.0,0.0,287.0,287.0,2021-07-16T19:52:28.000Z,2024-02-23T04:51:10.000Z,loitering,1
389b9d945-54aa-4595-8623-12a63977b3a5,413378520,HY1-1,28.965,125.0867,247.05390599999998,247.05390599999998,258.0,258.0,2021-07-18T19:14:07.000Z,2026-09-07T23:42:28.000Z,loitering,1
78fcdb9d4-4998-33d7-ad56-81a193013d7c,574128291,DKI/12,7.4853,109.6214,414.630344,414.630344,340.0,340.0,2021-07-28T01:50:39.000Z,2025-09-09T23:59:03.000Z,loitering,1
2ccc9fd30-0f00-f92a-2f6d-6889a396bacb,636017704,PETROBRAS 68,-25.0219,-42.6673,2.301557,2.301557,222.0,222.0,2021-08-28T05:26:57.000Z,2026-09-07T20:59:03.000Z,loitering,1
052da88d0-0151-2e29-0345-db666a0604f7,369494392,MAD DOG,27.1885,-90.2689,0.0,0.0,207.0,207.0,2021-09-01T18:00:15.000Z,2026-09-07T23:57:00.000Z,loitering,1
35d708601-1754-33dc-7315-b2241852fc2d,366047800,THUNDERHORSE PDQ,28.19,-88.4954,0.0,0.0,109.0,109.0,2021-09-04T16:21:50.000Z,2026-09-02T23:59:13.000Z,loitering,1
c52789e90-0c8e-b7f8-8a86-8f16ed9fbb92,370823000,PIONEIRO DE LIBRA,-24.5583,-42.1468,6.0567470000000005,11.226314,174.0,170.0,2021-09-25T23:48:09.000Z,2026-09-07T23:17:00.000Z,loitering,1
5cf65300e-e801-4917-d5c1-ffcac2227332,368166560,ARGOS PLATFORM,27.1635,-90.371,11.755672,10.138546,211.0,209.0,2021-10-10T18:55:05.000Z,2024-08-03T22:59:36.000Z,loitering,1
40ed84802-2dad-f19c-de9c-b86f70d3cfec,257828000,INSPIRER,57.8147,4.5346,1.111949,1.111949,105.0,105.0,2021-10-28T21:37:11.000Z,2026-09-07T23:58:00.000Z,loitering,1
b2b9773c5-5d2b-1483-594e-8a4501cc458f,362276000,CASSIA C,9.92,-60.5296,38.32632,38.32632,57.0,57.0,2021-11-02T18:18:26.000Z,2024-06-26T22:56:17.000Z,loitering,1
50f7fa640-0042-4753-6387-bad02d5bdeea,309669000,NKOSSA II,-5.2475,11.5789,0.0,0.0,53.0,53.0,2021-11-10T04:00:50.000Z,2026-05-10T16:24:21.000Z,loitering,1
f1c3209d6-6085-b18f-17e8-4f8d88e2154e,210288000,HAVEN,55.7203,4.841,2.911029,3.841455,205.0,203.0,2021-11-10T05:56:41.000Z,2024-06-30T14:54:40.000Z,loitering,1
d84ecc00a-ae6c-fff1-d455-f9727439fa6d,413284360,BZ34-1CEPA,38.1408,119.5274,0.0,0.0,51.0,51.0,2021-11-22T14:50:23.000Z,2026-06-21T02:58:14.000Z,loitering,1
1a0ffa1bd-d115-249e-3836-99643538ecea,413288720,SZ36-1CEP,39.9552,120.8067,1.400979,1.400979,41.0,41.0,2021-11-24T18:57:45.000Z,2024-11-22T10:51:35.000Z,loitering,1
2cca383d1-1c55-42ab-60c3-618ddecd43ec,224000000,ISLA DE ALBORAN,35.9374,-3.0354,72.957477,72.957477,55.0,55.0,2021-11-24T21:34:10.000Z,2024-02-15T07:06:10.000Z,loitering,1
137d5d475-52be-caf8-23d6-c33cc2d6c5be,311000563,WESTERN ISLES,61.2115,0.7761,28.584514,26.733639,92.0,95.0,2021-11-25T18:24:40.000Z,2024-07-17T04:50:04.000Z,loitering,1
6865cbe46-6258-8f7e-2a59-ba087480d912,413300030,HAI YANG SHI YOU117,38.3926,120.0809,2.388625,2.388625,55.0,55.0,2021-11-27T04:48:49.000Z,2026-09-07T23:08:26.000Z,loitering,1
96a165a2f-f155-23e0-3ba0-c195d6cbe866,412301830,LD10-1CEP PLATFORM,39.7989,120.6122,0.0,0.0,47.0,47.0,2021-11-28T14:21:41.000Z,2026-09-07T23:44:46.000Z,loitering,1
dc68d74a0-0321-b580-2b6d-5a94ffc6cec4,412464880,XJ30-2DPP,21.2706,114.9753,100.707258,100.707258,112.0,112.0,2021-11-28T19:34:29.000Z,2024-07-04T07:10:15.000Z,loitering,1
74351b845-54a6-0ffd-24b0-943da1393e2c,413277550,BZ34-9CEPA PLATFORM,37.9986,119.6479,13.078195,13.078195,56.0,56.0,2021-11-28T20:30:32.000Z,2024-07-22T02:59:53.000Z,loitering,1
dbee5ea4e-ed9d-919d-8eae-ca9df974e032,245849000,PLATFORM J6A,53.823,2.9436,82.172688,82.172688,143.0,143.0,2021-11-28T22:10:35.000Z,2024-09-23T13:42:18.000Z,loitering,1
30cc1e2f9-9c83-f2d4-9c12-940cc3416222,413274550,PL19-3WHPC,38.3691,120.116,2.067867,2.067867,51.0,51.0,2021-11-29T06:45:10.000Z,2024-08-24T12:08:09.000Z,loitering,1
00625aaa7-7c5d-6838-f0ff-1849e4ddf098,413301170,LV DA 27-2,39.2497,120.4187,61.625008,61.625008,58.0,58.0,2021-11-29T07:54:09.000Z,2024-02-02T02:17:53.000Z,loitering,1
c608ad761-13d3-5016-926b-e7b9cb3f0857,219438000,SIRI PLATFORM,56.4822,4.9104,59.987559000000005,59.987559000000005,197.0,197.0,2021-11-29T14:14:16.000Z,2026-01-01T05:38:12.000Z,loitering,1
c3b929b70-0a2e-4931-5b96-fcd4c36532c5,219440000,SOUTH ARNE,56.0784,4.2284,0.0,0.0,241.0,241.0,2021-11-29T14:16:32.000Z,2026-05-04T19:22:57.000Z,loitering,1
2a3a2fc11-1bbf-6237-ae50-8b56a7e3be9a,563086300,BW PIONEER,26.6963,-90.5086,25.59408,25.59408,261.0,261.0,2021-11-29T15:04:02.000Z,2025-04-14T14:31:51.000Z,loitering,1
ad90a2455-5b14-7c46-fd1d-02372e3eb176,261526000,LOTOS PETROBALTIC,55.4004,18.7211,69.22082,69.22082,67.0,67.0,2021-11-29T15:12:38.000Z,2025-04-14T15:12:27.000Z,loitering,1
a46f61c7a-a25f-112f-c81d-cce789945038,566806000,PTSC BIEN DONG 01,8.0499,108.9079,316.23375,316.23375,249.0,249.0,2021-11-29T15:19:00.000Z,2026-05-04T12:53:10.000Z,loitering,1
7723aa557-7669-4d4b-a699-bd7b1c50f52d,538003426,FSO ASIA,26.5879,52.0339,0.994341,0.994341,86.0,86.0,2021-11-29T20:28:03.000Z,2024-04-25T11:59:15.000Z,loitering,1
e5a67f262-2037-0140-343f-fe08478d40e4,413274560,PL25-6WHPF,38.3177,120.141,6.671696,6.671696,47.0,47.0,2021-11-30T04:19:13.000Z,2024-08-23T23:59:41.000Z,loitering,1
8e04ab8a0-0f20-358f-03cd-dd9f87a294e7,503000101,PRELUDE,-13.7843,123.3207,7.783645000000001,7.783645000000001,171.0,171.0,2021-12-05T08:33:38.000Z,2026-09-07T23:59:04.000Z,loitering,1
afcde9c60-0485-f534-ed56-b87d818b5aa2,413277560,BZ35-2CEPAPLATFORM,38.072,119.7745,0.0,0.0,57.0,57.0,2021-12-09T03:09:57.000Z,2025-05-06T11:27:41.000Z,loitering,1
b80c5d3f2-26c3-01ac-0239-e9100eb7593a,413277570,BZ35-2WHPBPLATFORM,38.0715,119.8244,0.0,0.0,55.0,55.0,2021-12-11T16:55:12.000Z,2024-12-17T01:50:09.000Z,loitering,1
f104a2b50-0762-3fe8-711e-7b9d7444bdfb,413274460,PL19-3WHPE,38.4038,120.1026,1.412771,1.412771,55.0,55.0,2021-12-19T09:08:27.000Z,2024-10-18T23:02:16.000Z,loitering,1
aba9cfb1c-c5a9-7ade-f76d-17d36dd0db55,413282830,BZ13-1WHPB,38.5505,119.0653,0.869616,0.869616,42.0,42.0,2021-12-24T11:29:43.000Z,2024-06-22T08:09:08.000Z,loitering,1
f853f74cc-c940-678c-4bd7-1b79c9eac532,413283930,BZ282SCEP,38.213,119.5542,0.0,0.0,56.0,56.0,2021-12-30T12:39:19.000Z,2024-10-30T01:00:57.000Z,loitering,1
c65c32c29-9745-6e6a-98f7-0d6d3dd07908,413277540,BZ29-4WHPCTLATFORM,38.1332,119.7263,7.534083,7.534083,64.0,64.0,2021-12-30T13:16:02.000Z,2026-09-07T23:59:57.000Z,loitering,1
579b91eea-aef5-decc-b763-a4d6c6cce4c8,311000797,LIZA UNITY,8.0098,-56.9143,191.86193799999998,191.86193799999998,181.0,181.0,2022-01-06T08:22:33.000Z,2026-09-07T23:51:36.000Z,loitering,1
3298a00b2-2aaa-5c2f-a28f-e84f6ffb8c2e,338193276,OLYMPUS TLP,28.1598,-89.2391,0.0,0.0,87.0,87.0,2022-01-15T21:40:14.000Z,2025-08-10T23:57:47.000Z,loitering,1
144e35ec2-2f21-3dcb-4df6-f29f1d5a5125,563122454,TEPM YADANA,15.122,94.7821,231.016391,231.016391,69.0,69.0,2022-01-16T02:23:45.000Z,2025-08-09T23:59:02.000Z,loitering,1
1dc1679d5-5f45-7ee0-b0ad-a140718ff631,422036200,BEHSHAD,15.8633,41.175,143.366578,143.44223399999998,47.0,46.0,2022-01-18T08:59:51.000Z,2024-01-04T11:57:25.000Z,loitering,1
26d423c24-43e0-f33a-aeb1-7c181a3dab50,538005508,PETROBRAS 66,-25.6018,-42.8205,0.0,0.0,283.0,283.0,2022-01-30T07:22:27.000Z,2026-09-07T23:18:24.000Z,loitering,1
ba7ee06a4-4f14-59ad-4b14-353a1b63b781,308384000,FSO CIDADE DE MACAE,-22.1564,-40.1473,0.0,0.0,89.0,88.0,2022-02-17T20:33:39.000Z,2026-07-09T17:57:58.000Z,loitering,1
3b1a61e3b-bf03-9a94-5e2d-de4125e020f7,311075500,FPSO PEREGRINO,-23.3181,-41.258,0.0,0.0,82.0,82.0,2022-02-18T01:55:12.000Z,2025-06-27T05:56:17.000Z,loitering,1
898ed510d-de3a-a7b9-38e8-a8a3799b4cf2,657384000,FPSO AKPO,3.1391,6.8221,0.0,0.0,133.0,133.0,2022-02-18T14:05:13.000Z,2024-05-31T14:58:16.000Z,loitering,1
4498271d1-1240-8d0c-88dd-b26d334fff9a,413290970,SZ36-1CEPK,39.9279,120.7958,2.5580249999999998,1.7053500000000001,42.0,43.0,2022-02-26T21:39:35.000Z,2024-07-07T11:00:03.000Z,loitering,1
e4cff9443-3ae1-c479-805c-3c8644f4ccda,412300960,SZ36-1A,39.9271,120.7972,1.7053500000000001,1.7053500000000001,43.0,43.0,2022-03-10T08:55:38.000Z,2024-12-06T07:05:31.000Z,loitering,1
381af4fce-efbf-78c0-759a-cc61590ce615,308297000,CAPIXABA,-21.2451,-39.9499,0.0,2.3521840000000003,82.0,84.0,2022-03-11T21:38:46.000Z,2024-04-01T14:11:51.000Z,loitering,1
e19945eb3-3c9f-f08f-8d10-a8597d382b86,413277580,KL10-4WHPA PLATFORM,37.7029,119.5867,0.0,0.0,42.0,42.0,2022-03-15T03:08:57.000Z,2024-11-19T01:39:19.000Z,loitering,1
f4403f04f-fb1a-3705-b6eb-15c146a26e17,261000160,PETROBALTIC,55.4004,18.7234,69.22082,69.22082,67.0,67.0,2022-03-17T15:56:28.000Z,2025-04-17T13:31:00.000Z,loitering,1
7057d5cf3-37bc-0c5e-fa22-d07f7b69212f,538004962,EARNEST DEES,28.4992,49.3417,3.476071,3.476071,76.0,76.0,2022-03-21T12:59:02.000Z,2024-03-31T12:59:10.000Z,loitering,1
1df730762-2f27-20a4-222d-a0bad57db185,412301820,LD5-2DPP,39.9427,120.7836,3.587145,3.587145,41.0,41.0,2022-03-21T14:14:07.000Z,2024-09-04T02:22:03.000Z,loitering,1
9569a65f2-20cb-bf1f-2098-ce84a61e44d9,311000245,FPSO GUANABARA MV31,-24.5822,-42.2557,5.650917000000001,5.650917000000001,176.0,176.0,2022-03-25T07:41:41.000Z,2026-09-07T23:16:27.000Z,loitering,1
03386ca3f-fde2-7b48-5acb-5d1b3f6b2c28,413296320,LD6-2CEPA,39.8837,120.9735,10.906357,10.906357,41.0,41.0,2022-03-25T10:32:32.000Z,2026-09-07T23:47:57.000Z,loitering,1
fc4660176-64c4-8e7e-a9f8-22e1cc5e1d27,603500187,KIZOMBA FPSO B,-6.3533,11.1517,1.5677249999999998,1.5677249999999998,126.0,126.0,2022-03-26T09:01:23.000Z,2026-09-07T23:37:13.000Z,loitering,1
